Оценка;Отзыв
5;Очень многие  маски - это хорошая  работа корейской косметологии.   Э кстракт   гамамелиса успокаивает на лице покраснения  ,  с двух раз  ,  щёки бледнеют  ,   лекарственный гриб   разглаживает кожу и не даёт сухого последствия после процедур.    Это отличные  сопутствующие товарищи для лечения  акне.
5;Отличная маска, рекомендую!
5;Отличная маска!
5;Почти без запаха, не раздражают кожу под глазами, хорошо убирают тёмные круги. Внешняя сторона тканевая, внутренняя - гидрогелевая. Хорошие патчи
5;Обод эти патчи. Не оставляют липкости, я не смываю остатки. Освежают кожу под глазами
3;Вообще не поняла эту маску. Запах похож на мужской парфюм. Какого то эффекта от применения не заметила.
5;Обалденная маска. Смягчает, выравниваниет, слегка осветляет. В инструкции написано, что можно не смывать, но сыворотка липкая, поэтому смываю прохладноц водой и наношу тонер и крем. Отличная серия по дням недели, как патчи, так и маски.
5;Патчи с одной стороны гелевые, с другой тканевые. Очень приятные, никакого раздражения не вызвали
5;Обожаю все 7 масок из этой серии. Беру не первый раз. В маске много пропитки, пахнет приятно, отлично тонизирует кожу.
5;Маска отлично справляется с заявленными функциями. Увлажняет, напитывает, разглаживает, регенерирует, дарит гладкость и эластичность. Кожа ухоженная и благодарная! Советую к приобретению.
5;Маска хорошая понравилась, запах приятный, хорошо увлажняет кожу лица.
5;хорошая, увлажняет, лекало отличное
5;Очень многие  маски - это хорошая  работа корейской косметологии.   Э кстракт   гамамелиса успокаивает на лице покраснения  ,  с двух раз  ,  щёки бледнеют  ,   лекарственный гриб   разглаживает кожу и не даёт сухого последствия после процедур.    Это отличные  сопутствующие товарищи для лечения  акне.
5;Отличная маска, рекомендую!
5;Отличная маска!
5;Почти без запаха, не раздражают кожу под глазами, хорошо убирают тёмные круги. Внешняя сторона тканевая, внутренняя - гидрогелевая. Хорошие патчи
5;Обод эти патчи. Не оставляют липкости, я не смываю остатки. Освежают кожу под глазами
3;Вообще не поняла эту маску. Запах похож на мужской парфюм. Какого то эффекта от применения не заметила.
5;Обалденная маска. Смягчает, выравниваниет, слегка осветляет. В инструкции написано, что можно не смывать, но сыворотка липкая, поэтому смываю прохладноц водой и наношу тонер и крем. Отличная серия по дням недели, как патчи, так и маски.
5;Патчи с одной стороны гелевые, с другой тканевые. Очень приятные, никакого раздражения не вызвали
5;Обожаю все 7 масок из этой серии. Беру не первый раз. В маске много пропитки, пахнет приятно, отлично тонизирует кожу.
5;Маска отлично справляется с заявленными функциями. Увлажняет, напитывает, разглаживает, регенерирует, дарит гладкость и эластичность. Кожа ухоженная и благодарная! Советую к приобретению.
5;Маска хорошая понравилась, запах приятный, хорошо увлажняет кожу лица.
5;хорошая, увлажняет, лекало отличное
5;шикарная приятная маска, увлажняет очень хорошо, разглаживает кожу
5;"Маска подтягивает овал лица, придает эластичность 
Маска это порошок, его нужно смешивать с водой, в пропорциях 5-6 столовых ложек воды на один пакет, до образования сметанообразной кашицы.. Затем нанести на лицо. Застывает маска быстро. Снимается легко. нужна определенная сноровка, но и без нее эффект обеспечен)"
5;суперская маска, отлично увлажняет, делаю раз в неделю
4;заказала на свой страх и риск эту маску и не пожалела. очень увлажняет, быстро впитывается, я после смываю спонжем и мягкими массирующими движениями. кожа очень увлажненная и мягкая
4;ояередная тканевая маска с гиалуроновой кислотой в составе. особого прям интиенсивного увлажнения и подтягивания от нее ждать не стоит
4;очень понравилась эта серия масок с языкастой девочкой на упаковке. маски очень пропитанны составом, хорошее лекало, нормальный размер, с лица не стекают и не сползают, удобно в них ходить по дому и делать домашние дела
4;очень плотная и жесткая маска, ложится на лицо прям необычно, мне понравилось. состава в упаковк много, можно использовать маску повторно, ничего страшного с ней за ночь не случится, не высохнет
4;очень неплохая тканевая маска для лица, как раз для таких чик как я))) хорошо пропитана составом, внутри еще немного осталось, можно намазать отдельно на шею, вкусно пахнет
4;маска очень крутая, одна из лучших. купиась на коллаген в названии и не прогадала. очень увлажняющая, очень протианная составом внутри, хорошее лекало.
4;маска хрошая мне понравилась, хорошо успакаивает, снимает покраснения. кожа лица после применения этой маски очень ухоженная, никаких раздражений и покраснений
4;люблю маски в таких майонезных упаковках, это очень удобно - можно брать с с обой куда угодно и они не вытечет. маска с бананм мне понравилась 0 очень нежная, как будто взбитая, очень смягчает и ухаживает за лицом
3;так себе маска, странное лекало, странный размер, эссенции внутри маловато. мне не очень понравилась, ладно хотя бы цена была бюджетная и жалко было потратиться
5;очень люблю альгинатные маски для их роскошный эффект. конечно стоит повозиться с нанесением, но это того стоит! спивак сделал крутые маски, мне очень понравились
3;не очень люблю маски с муцином улитки, потому что они странно пахнут и скользкие, но верю в чудодейственный эффект, поэтому мучаюсь, страдаю, но все равнопокупаю, верю что поможет с мморщинами
4;хорошая увлажняющая маска, лочень понравился этот бренд и их тканевые маски для лица, прям очень неплохие, буду заказыввать их еще, хорошо увлажняют и не сползают
4;очень крутая необычна\ маска, меня очень впетлила. выглядит дорого-богато, как будто я нефертити)) на кожу эффективно влияет, разглаживает, увлажняет, лифтинг эффект есть
4;очень люблю эти маски от второго подбородка. хорошо подтягивают, отличный лифтинг эффект. правда очень сильно устают уши и приходится терпеть через силу
4;от второго подбородка конечно не спасет, но кожу здорово подтянет. единственный минус таких масок - спкстя полчаса очень болят и устают уши)) но как говорится -  красота требует жертв!
5;"Хорошая качественная, а главное работающая масочка!
Мне понравилась! Использовала ее в жару, она помимо заявленных по осветлению кожи, прекрасно меня тонизировала и увлажнила! 
буду покупать еще. Люблю Елизавекку!"
4;маска, чтобы ты стала свинкой Пеппой)) прикольная маска, хорошо очищает, поры конечно не сужает и ничего не вытягивает, но просто хорошо очищает и этого достаточно
4;не знаю какая такая ледниковая свежесть, наверное если держать маску в морозилке - то да. А так прсото увлажняющий и разглаживающий неналолго эффект, не боле того. Маску можно использовать два раза.
