WORD;TAG
король;NOUN
японских;ADJF
забегаловок;NOUN
прародитель;NOUN
доширака;NOUN
та;ADJF
самая;ADJF
лапша;NOUN
из;PREP
наруто;NOUN
и;CONJ
кучи;NOUN
других;ADJF
тайтлов;NOUN
также;CONJ
помимо;PREP
этого;ADJF
есть;INFN
легенда;NOUN
что;CONJ
рамен;NOUN
был;VERB
ввезен;PRTS
китайским;ADJF
учёным;NOUN
чжу;NOUN
сунсуи;NOUN
который;ADJF
был;VERB
вынужден;PRTS
стать;INFN
беженцем;NOUN
и;CONJ
служил;VERB
как;CONJ
советник;NOUN
токугаве;NOUN
мицукуни;NOUN
японскому;ADJF
феодальному;ADJF
лорду;NOUN
часто;ADVB
используется;VERB
темпура;NOUN
удон;NOUN
и;CONJ
тофу;NOUN
кицунэ;ADJF
удон;NOUN
вдохновением;NOUN
для;PREP
блюда;NOUN
была;VERB
другая;ADJF
закуска;NOUN
акашияки;NOUN
которая;ADJF
готовилась;VERB
в;PREP
префектуре;NOUN
хъёго;NOUN
городе;NOUN
акаши;NOUN
и;CONJ
была;VERB
сделана;PRTS
из;PREP
яиц;NOUN
и;CONJ
осьминога;NOUN
первые;ADJF
такояки;NOUN
содержали;VERB
в;PREP
себе;PRCL
конняку;NOUN
и;CONJ
говядину;NOUN
однако;CONJ
потом;ADVB
эндо;NOUN
переключился;VERB
снова;ADVB
на;PREP
осьминога;NOUN
в;PREP
начале;NOUN
века;NOUN
карри;NOUN
появилось;VERB
в;PREP
рационе;NOUN
японского;ADJF
морского;ADJF
флота;NOUN
как;CONJ
способ;NOUN
борьбы;NOUN
с;PREP
авитаминозом;NOUN
и;CONJ
также;CONJ
используется;VERB
по;PREP
сей;ADJF
день;NOUN
в;PREP
одном;ADJF
аниме;NOUN
есть;INFN
серия;NOUN
посвящённая;PRTS
карри;NOUN
как;PRCL
раз;PRCL
потому;CONJ
что;CONJ
там;ADVB
корабледевочки;NOUN
вообще;ADVB
есть;INFN
небольшой;ADJF
лайфхак;NOUN
нужно;PRED
купить;INFN
обычное;ADJF
порошковое;ADJF
карри;NOUN
тут;ADVB
важно;ADJS
почитать;INFN
состав;NOUN
карри;NOUN
бывают;VERB
разные;ADJF
вам;NPRO
нужен;PRED
тот;ADJF
где;ADVB
есть;INFN
фенугрек;NOUN
или;CONJ
фенхель;NOUN
или;CONJ
оба;NUMR
сразу;ADVB
был;VERB
я;NPRO
значит;ADVB
в;PREP
этой;ADJF
вашей;NPRO
японии;NOUN
честно;ADJS
пытался;VERB
схарчевать;INFN
там;ADVB
рамен;NOUN
в;PREP
обоих;NUMR
случаях;NOUN
оглядываясь;GRND
по;PREP
сторонам;NOUN
я;NPRO
заметил;VERB
что;CONJ
самураи;NOUN
уплетали;VERB
это;ADJF
явство;NOUN
с;PREP
явным;ADJF
удовольствием;NOUN
и;CONJ
причмокиванием;NOUN
ну;INTJ
вот;INTJ
приготовление;NOUN
якитори;NOUN
они;NPRO
познали;VERB
в;PREP
совершенстве;NOUN
с;PREP
этим;ADJF
не;PRCL
поспоришь;VERB
ну;INTJ
и;CONJ
для;PREP
взрослых;NOUN
конечно;PRCL
это;ADJF
японский;ADJF
вискарь;NOUN
офигительно;ADVB
крутая;ADJF
штука;NOUN
сакэ;NOUN
норм;ADJS
но;CONJ
на;PREP
любителя;NOUN
правда;PRCL
получше;COMP
корейской;ADJF
сётю;NOUN
и;CONJ
все;PRCL
равно;PRCL
не;PRCL
могу;VERB
понять;INFN
в;PREP
чем;NPRO
разница;NOUN
между;PREP
карри;NOUN
и;CONJ
тушенной;ADJF
картохой;NOUN
кроме;PREP
специи;NOUN
готовил;VERB
и;CONJ
карри;NOUN
и;CONJ
якисобу;NOUN
и;CONJ
разные;ADJF
вариации;NOUN
рамена;NOUN
омурайсу;NOUN
онигири;NOUN
кацудон;NOUN
нынешняя;ADJF
домашняя;ADJF
японская;ADJF
кухня;NOUN
довольно;ADVB
простая;ADJF
и;CONJ
понятная;ADJF
всё;NPRO
делается;VERB
из;PREP
очень;ADVB
доступных;ADJF
продуктов;NOUN
ресторанка;NOUN
и;CONJ
фастфуд;NOUN
уже;ADVB
совсем;ADVB
другая;ADJF
песня;NOUN
